accident_id,0,factor_id,1
50193,50193,37,37
1036,1036,43,43
2540,2540,37,37
50135,50135,31,31
1038,1038,31,31
2572,2572,37,37
2606,2606,31,31
1039,1039,37,37
1042,1042,37,37
2611,2611,31,31
2618,2618,37,37
1042,1042,43,43
2624,2624,37,37
2646,2646,43,43
2657,2657,43,43
2662,2662,43,43
2667,2667,37,37
1050,1050,37,37
2682,2682,37,37
2689,2689,31,31
2689,2689,43,43
2689,2689,101,101
2691,2691,31,31
2691,2691,43,43
50135,50135,43,43
2696,2696,31,31
2696,2696,38,38
2696,2696,43,43
1055,1055,31,31
2701,2701,31,31
2701,2701,43,43
2716,2716,43,43
2718,2718,37,37
2725,2725,37,37
1061,1061,36,36
1061,1061,42,42
1062,1062,37,37
1064,1064,31,31
1064,1064,43,43
2737,2737,31,31
2737,2737,43,43
1066,1066,31,31
2747,2747,37,37
2749,2749,31,31
2749,2749,43,43
1079,1079,34,34
1080,1080,37,37
35878,35878,37,37
28689,28689,43,43
604,604,37,37
1086,1086,37,37
2757,2757,31,31
2757,2757,43,43
1086,1086,43,43
1087,1087,37,37
1091,1091,37,37
2785,2785,31,31
2785,2785,43,43
2794,2794,31,31
2794,2794,43,43
2798,2798,31,31
2798,2798,43,43
1092,1092,36,36
2834,2834,37,37
2839,2839,43,43
1093,1093,42,42
1096,1096,37,37
1097,1097,36,36
2893,2893,37,37
2897,2897,31,31
1100,1100,31,31
2901,2901,42,42
2901,2901,43,43
2907,2907,37,37
1100,1100,43,43
2914,2914,37,37
2916,2916,43,43
2918,2918,37,37
2922,2922,43,43
2924,2924,37,37
62905,62905,31,31
1116,1116,37,37
2930,2930,37,37
50179,50179,37,37
50352,50352,42,42
2947,2947,37,37
2951,2951,37,37
2953,2953,37,37
50329,50329,101,101
50392,50392,35,35
1137,1137,37,37
2957,2957,37,37
2959,2959,31,31
2959,2959,38,38
1139,1139,37,37
1146,1146,37,37
1149,1149,37,37
3040,3040,31,31
171,171,101,101
50392,50392,36,36
41788,41788,31,31
1162,1162,37,37
3059,3059,43,43
3066,3066,37,37
41788,41788,34,34
41788,41788,35,35
41788,41788,101,101
1164,1164,34,34
3077,3077,31,31
35826,35826,33,33
1167,1167,37,37
3082,3082,31,31
35826,35826,43,43
40076,40076,37,37
3093,3093,31,31
2034,2034,43,43
2045,2045,37,37
3099,3099,31,31
3099,3099,43,43
2047,2047,43,43
2087,2087,37,37
3111,3111,31,31
3111,3111,43,43
14137,14137,42,42
3116,3116,101,101
3124,3124,37,37
3126,3126,37,37
3133,3133,31,31
3133,3133,43,43
867,867,43,43
3137,3137,43,43
3141,3141,37,37
3142,3142,31,31
3142,3142,43,43
2104,2104,37,37
2106,2106,37,37
3160,3160,37,37
2129,2129,31,31
3172,3172,37,37
2129,2129,43,43
3178,3178,37,37
2139,2139,37,37
2141,2141,37,37
3214,3214,37,37
2145,2145,43,43
2145,2145,101,101
2147,2147,101,101
50242,50242,37,37
50362,50362,37,37
50375,50375,37,37
55341,55341,36,36
55341,55341,101,101
55341,55341,42,42
50275,50275,36,36
3225,3225,37,37
3255,3255,37,37
3256,3256,37,37
3256,3256,43,43
2183,2183,34,34
2195,2195,43,43
3259,3259,37,37
3260,3260,43,43
3261,3261,37,37
3262,3262,43,43
3263,3263,37,37
50275,50275,37,37
101136,101136,43,43
3275,3275,31,31
3275,3275,101,101
3276,3276,37,37
2209,2209,37,37
2218,2218,31,31
3298,3298,31,31
3301,3301,31,31
3301,3301,42,42
3301,3301,43,43
3302,3302,37,37
2275,2275,31,31
3307,3307,37,37
2281,2281,101,101
2321,2321,31,31
3313,3313,43,43
2321,2321,43,43
2331,2331,42,42
2344,2344,31,31
2344,2344,43,43
3317,3317,37,37
2361,2361,101,101
2366,2366,36,36
3320,3320,37,37
3321,3321,31,31
2366,2366,101,101
3323,3323,31,31
3324,3324,31,31
3324,3324,42,42
2384,2384,31,31
2427,2427,101,101
3337,3337,37,37
3338,3338,31,31
3338,3338,43,43
2458,2458,43,43
3341,3341,37,37
2464,2464,37,37
3345,3345,37,37
3346,3346,43,43
2465,2465,37,37
2470,2470,37,37
2475,2475,36,36
3354,3354,31,31
3354,3354,38,38
2475,2475,101,101
2526,2526,101,101
3358,3358,31,31
2530,2530,36,36
3364,3364,37,37
2530,2530,101,101
2543,2543,37,37
3369,3369,34,34
2568,2568,31,31
3384,3384,38,38
3388,3388,37,37
3392,3392,101,101
2620,2620,101,101
2627,2627,37,37
2627,2627,43,43
2638,2638,37,37
3395,3395,37,37
3396,3396,37,37
3397,3397,31,31
3397,3397,35,35
3398,3398,31,31
2672,2672,31,31
2672,2672,43,43
3401,3401,37,37
2678,2678,42,42
2680,2680,101,101
3403,3403,40,40
3412,3412,37,37
3414,3414,37,37
3415,3415,37,37
