accident_id,0,injury_id,1
3695,3695,0,0
3929,3929,0,0
3545,3545,0,0
3696,3696,0,0
3934,3934,0,0
3935,3935,0,0
3700,3700,0,0
3937,3937,0,0
3705,3705,0,0
3942,3942,0,0
3945,3945,0,0
3946,3946,55,55
3719,3719,52,52
3952,3952,0,0
3720,3720,55,55
3722,3722,0,0
3960,3960,0,0
3730,3730,0,0
3732,3732,0,0
3734,3734,56,56
3739,3739,56,56
3740,3740,56,56
3741,3741,55,55
3743,3743,0,0
3751,3751,0,0
3757,3757,0,0
3758,3758,0,0
3975,3975,0,0
3759,3759,53,53
3978,3978,0,0
3979,3979,0,0
3980,3980,0,0
3984,3984,0,0
4082,4082,53,53
4082,4082,55,55
3986,3986,51,51
8139,8139,55,55
35826,35826,51,51
3996,3996,0,0
18033,18033,0,0
16365,16365,56,56
3763,3763,55,55
4001,4001,0,0
4002,4002,0,0
3765,3765,0,0
3768,3768,55,55
3770,3770,55,55
3774,3774,55,55
45100,45100,52,52
4013,4013,0,0
4014,4014,0,0
3786,3786,0,0
4017,4017,54,54
3787,3787,55,55
4020,4020,55,55
3788,3788,56,56
40076,40076,54,54
4026,4026,0,0
3792,3792,0,0
3795,3795,54,54
4030,4030,0,0
3796,3796,0,0
50458,50458,0,0
3803,3803,0,0
3804,3804,0,0
3806,3806,0,0
37855,37855,0,0
40076,40076,55,55
3813,3813,0,0
3814,3814,55,55
3816,3816,0,0
4044,4044,0,0
3821,3821,55,55
3822,3822,59,59
3823,3823,56,56
4054,4054,0,0
3827,3827,0,0
4058,4058,0,0
4059,4059,0,0
4060,4060,0,0
4061,4061,58,58
3828,3828,0,0
4063,4063,0,0
4064,4064,0,0
4066,4066,0,0
3830,3830,0,0
3837,3837,0,0
3838,3838,55,55
3839,3839,0,0
3843,3843,53,53
4075,4075,0,0
4076,4076,0,0
3850,3850,52,52
4078,4078,54,54
3851,3851,53,53
3854,3854,56,56
3862,3862,0,0
3866,3866,0,0
3867,3867,0,0
4084,4084,0,0
4085,4085,0,0
3868,3868,0,0
4087,4087,54,54
3869,3869,52,52
3870,3870,0,0
4094,4094,0,0
4095,4095,0,0
3874,3874,0,0
4260,4260,0,0
4281,4281,52,52
4282,4282,52,52
4283,4283,51,51
4345,4345,0,0
3875,3875,0,0
4375,4375,0,0
3877,3877,0,0
33988,33988,55,55
3883,3883,0,0
3886,3886,0,0
4381,4381,54,54
4382,4382,0,0
4383,4383,0,0
50471,50471,0,0
3892,3892,0,0
3893,3893,0,0
3894,3894,55,55
3896,3896,0,0
4412,4412,0,0
4413,4413,0,0
50414,50414,53,53
4417,4417,0,0
4418,4418,0,0
3900,3900,0,0
4508,4508,57,57
3907,3907,55,55
3913,3913,0,0
3748,3748,52,52
3748,3748,53,53
3914,3914,54,54
3917,3917,0,0
3918,3918,0,0
3919,3919,55,55
3920,3920,0,0
3928,3928,0,0
3933,3933,0,0
3936,3936,0,0
3938,3938,0,0
3948,3948,53,53
3954,3954,0,0
3958,3958,0,0
3961,3961,0,0
3962,3962,0,0
3963,3963,54,54
50191,50191,0,0
3964,3964,0,0
3965,3965,55,55
3967,3967,0,0
3968,3968,0,0
3969,3969,0,0
10498,10498,0,0
3970,3970,54,54
35471,35471,0,0
3974,3974,53,53
3977,3977,0,0
3981,3981,55,55
10573,10573,53,53
4071,4071,0,0
3407,3407,0,0
3983,3983,0,0
3985,3985,53,53
3987,3987,0,0
3990,3990,0,0
870,870,0,0
3994,3994,0,0
3997,3997,53,53
3931,3931,0,0
3999,3999,0,0
4000,4000,0,0
505,505,0,0
4004,4004,0,0
4007,4007,0,0
4016,4016,0,0
4019,4019,0,0
4021,4021,52,52
10865,10865,52,52
956,956,53,53
4029,4029,0,0
4031,4031,52,52
4032,4032,0,0
4033,4033,0,0
50524,50524,55,55
4037,4037,0,0
4039,4039,0,0
4040,4040,0,0
8327,8327,58,58
4041,4041,0,0
171,171,0,0
8328,8328,0,0
8329,8329,0,0
134,134,0,0
8463,8463,0,0
8521,8521,54,54
4050,4050,0,0
4052,4052,0,0
37436,37436,0,0
4053,4053,0,0
4057,4057,0,0
8446,8446,0,0
4068,4068,0,0
4069,4069,0,0
4070,4070,0,0
4072,4072,0,0
4073,4073,0,0
58192,58192,0,0
4077,4077,0,0
4080,4080,0,0
4083,4083,0,0
4086,4086,0,0
4088,4088,55,55
4093,4093,0,0
4096,4096,54,54
4376,4376,54,54
4377,4377,0,0
4378,4378,55,55
4379,4379,0,0
4380,4380,0,0
50207,50207,0,0
12028,12028,0,0
9829,9829,0,0
359,359,56,56
9551,9551,0,0
10574,10574,0,0
8935,8935,0,0
10497,10497,0,0
4396,4396,0,0
3628,3628,0,0
14076,14076,52,52
11395,11395,0,0
23217,23217,56,56
16191,16191,0,0
31686,31686,53,53
14298,14298,55,55
21878,21878,54,54
3423,3423,0,0
31503,31503,0,0
23659,23659,59,59
16516,16516,0,0
24878,24878,0,0
10033,10033,0,0
9076,9076,0,0
8887,8887,0,0
8729,8729,0,0
10664,10664,0,0
4062,4062,0,0
4023,4023,0,0
10733,10733,0,0
4389,4389,0,0
3966,3966,0,0
3927,3927,0,0
3885,3885,0,0
3831,3831,0,0
4034,4034,55,55
3824,3824,0,0
3736,3736,0,0
3530,3530,0,0
3521,3521,0,0
3426,3426,0,0
3402,3402,0,0
3359,3359,54,54
21835,21835,55,55
1051,1051,55,55
85,85,0,0
502,502,0,0
3139,3139,0,0
3328,3328,0,0
3360,3360,0,0
4387,4387,55,55
2608,2608,0,0
2735,2735,0,0
2941,2941,0,0
2909,2909,0,0
2899,2899,0,0
1085,1085,0,0
1069,1069,0,0
1075,1075,0,0
1172,1172,0,0
2350,2350,54,54
2372,2372,55,55
803,803,0,0
763,763,0,0
911,911,0,0
888,888,0,0
925,925,0,0
833,833,0,0
828,828,0,0
673,673,0,0
676,676,0,0
932,932,0,0
782,782,52,52
2370,2370,0,0
766,766,0,0
485,485,0,0
480,480,52,52
508,508,0,0
490,490,0,0
644,644,0,0
