accident_id,0,cause_id,1
1143,1143,8,8
921,921,18,18
104,104,8,8
1152,1152,12,12
1153,1153,15,15
1156,1156,7,7
1157,1157,11,11
1158,1158,11,11
1161,1161,11,11
924,924,7,7
14278,14278,86,86
1166,1166,11,11
1169,1169,11,11
1170,1170,11,11
1171,1171,7,7
1175,1175,11,11
1176,1176,11,11
1177,1177,11,11
1178,1178,11,11
1179,1179,11,11
1180,1180,11,11
1524,1524,11,11
1753,1753,11,11
1756,1756,14,14
1759,1759,11,11
2004,2004,11,11
2006,2006,11,11
2008,2008,11,11
929,929,8,8
2020,2020,11,11
934,934,6,6
2032,2032,11,11
937,937,14,14
2049,2049,13,13
2054,2054,12,12
941,941,8,8
2073,2073,15,15
2081,2081,11,11
2085,2085,11,11
943,943,86,86
946,946,10,10
946,946,15,15
2111,2111,11,11
2113,2113,7,7
2127,2127,11,11
2131,2131,11,11
950,950,8,8
2135,2135,11,11
952,952,10,10
958,958,6,6
959,959,7,7
2152,2152,17,17
962,962,12,12
2178,2178,4,4
963,963,86,86
964,964,10,10
2197,2197,11,11
965,965,8,8
35878,35878,18,18
966,966,18,18
968,968,12,12
2216,2216,11,11
969,969,86,86
2222,2222,11,11
2224,2224,14,14
2259,2259,11,11
970,970,7,7
2263,2263,11,11
81834,81834,4,4
2271,2271,6,6
2271,2271,13,13
2273,2273,11,11
2278,2278,11,11
974,974,12,12
2283,2283,11,11
2289,2289,11,11
2291,2291,11,11
604,604,6,6
2298,2298,11,11
975,975,15,15
2311,2311,86,86
2313,2313,11,11
2315,2315,3,3
2315,2315,86,86
978,978,12,12
2319,2319,11,11
979,979,8,8
41787,41787,13,13
2326,2326,11,11
980,980,7,7
2335,2335,11,11
2339,2339,3,3
982,982,8,8
983,983,14,14
2353,2353,11,11
33420,33420,86,86
3624,3624,10,10
2357,2357,18,18
2359,2359,86,86
984,984,12,12
2363,2363,86,86
994,994,17,17
995,995,15,15
999,999,7,7
2388,2388,18,18
2398,2398,3,3
2423,2423,86,86
1005,1005,15,15
2438,2438,14,14
2446,2446,13,13
2453,2453,17,17
2460,2460,11,11
2462,2462,4,4
1009,1009,6,6
1016,1016,10,10
2467,2467,13,13
2467,2467,86,86
1018,1018,10,10
2472,2472,6,6
2474,2474,11,11
1023,1023,6,6
2490,2490,15,15
2502,2502,86,86
2504,2504,7,7
2506,2506,12,12
84755,84755,13,13
50490,50490,18,18
89131,89131,86,86
85152,85152,7,7
82311,82311,86,86
25821,25821,15,15
1036,1036,4,4
2540,2540,10,10
3834,3834,18,18
